,Tweet
21,"Hemophilia is a rare bleeding disorder where the blood does not clot properly, making it harder to stop a cut from bleeding. This #WorldHemophiliaDay, learn more about hemophilia and help raise awareness about this rare condition. https://t.co/1ym5PgPIOo https://t.co/2FVz2hhCmV"
22,"Chicks 🐤 and bunnies 🐇 are adorable, but they can be easily injured and spread germs to young kids. Don’t use these animals as photo props. 📷

Learn more about keeping people and animals healthy: https://t.co/eJ4LkLu7EA. https://t.co/jPQ0prUoKy"
23,"If you’ve delayed or avoided medical care during the #COVID19 pandemic, it’s time to jump back in. Put “get a checkup” on your to-do list, especially if you’re at risk for heart disease. Learn more in the COVID Data Tracker Weekly Review: https://t.co/F4bAyObDp1. https://t.co/FnKB4i3oQZ"
24,"New: CDC’s COVID Data Tracker now shows more information about levels of the virus that causes #COVID19 in a community’s wastewater. When used with other data, increasing levels can provide an early warning of COVID-19 spread in a community. See the data: https://t.co/2oUHTMGqqX. https://t.co/o2rP9ghGpi"
25,"CDC flu burden estimates for the 2021-2022 flu season suggest at least 42,000 people have been hospitalized with flu so far. Most people hospitalized with flu each year have at least one underlying medical condition. More: https://t.co/kfI18PWwiI. https://t.co/q1i8wXsCOn"
26,"#Flu activity continues to increase in the United States, per the most recent CDC #FluView report. Activity is highest in the central and south-central regions of the country but increasing most rapidly in the northeast of the country. Learn more: https://t.co/s9XLYIzBXD. https://t.co/AM2ZoxZRwv"
27,"As of April 14, 2022, more than 99% of the U.S. population lives in a location with a low or medium #COVID19 Community Level. 

Find your COVID-19 Community Level: https://t.co/w3365V9Zr4. https://t.co/8vcNoqZ1mV"
28,Have questions about #COVID19 vaccination for children ages 5+ years? Here are 6 things parents and caregivers need to know: https://t.co/FoJ0IFtxGR. https://t.co/mJTp7t4fCs
0,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/8dVkHtrrwq
1,RT @MoHFW_INDIA: #Unite2FightCorona https://t.co/ueAiKzFOGm
2,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/fBaAdAySdR
3,RT @mansukhmandviya: देश में ब्लॉक स्तर पर हेल्थ मेलों का आयोजन हो रहा है। जिसमें फ्री टेस्टिंग की सुविधा प्रदान की गई जिसका लाभ नागरिकों…
4,"RT @MoHFW_INDIA: #LargestVaccineDrive 
#Unite2FightCorona https://t.co/jWtGYPnxB7"
5,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/YJc4ikV9fh
6,RT @mansukhmandviya: Glimpses of the Block Level Health Melas organised across the nation as part of the #AzadiKaAmritMahotsav celebrations…
7,RT @MoHFW_INDIA: #Unite2FightCorona https://t.co/DCv5TyZJ5t
8,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/EYHFHhTUsk
9,RT @mansukhmandviya: प्रधानमंत्री @NarendraModi जी ने आत्मनिर्भर भारत का विजन रखा था और उसमें सबसे महत्वपूर्ण भूमिका निभाई भारत की अपनी स्व…
10,"RT @mansukhmandviya: हेल्थ का मेला!

#4YearsofHWC उत्सव के तीसरे दिन आज देशभर में ब्लॉक स्तर पर हेल्थ मेलों का आयोजन होगा। जंहा स्वास्थ्य…"
11,"RT @MoHFW_INDIA: #IndiaFightsCorona 
#Unite2FightCorona https://t.co/gy4LuyZ6Dv"
12,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/A83p7KmVYE
13,"RT @mansukhmandviya: हेल्थ एंड वेलनेस!

आज #4YearsofHWC उत्सव के दूसरे दिन मेरठ में आयुष्मान भारत हेल्थ एंड वेलनेस सेंटर पर योग कार्यक्रम…"
14,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/icXTHzQOBK
15,"RT @MoHFW_INDIA: Moving towards strengthening healthcare down to the last mile, watch the celebrations of the 4th anniversary of Ayushman B…"
16,"RT @MoHFW_INDIA: #4YearsofHWC 

@PMOIndia @mansukhmandviya @ianuragthakur @DrBharatippawar @PIB_India @mygovindia @AmritMahotsav @DDNewsliv…"
17,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/zVCKVQg6oq
18,"RT @mansukhmandviya: तेज गति से जारी बच्चों का टीकाकरण 💉

Over 50% of youngsters between the 12-14 age group have received the 1st dose of…"
19,"RT @mansukhmandviya: हम दुनिया की सेवा 'Pharmacy of the World' के रूप में कर रहे है।

Heal by India ये हमारा विज़न है। https://t.co/hI3wwVS…"
20,"RT @MoHFW_INDIA: #LargestVaccineDrive 
#Unite2FightCorona https://t.co/Pz2sxsS698"
21,RT @OfficeOf_MM: मिलिए NIV पुणे की वैज्ञानिक डॉ प्रज्ञा यादव से जिन्होंने देश में सबसे पहले ऑमिक्रान वेरिएंट की पहचान की थी। https://t.co/E…
22,"RT @MoHFW_INDIA: #LargestVaccineDrive

➡️India’s cumulative vaccination coverage crosses 186.21 Crore 

➡️More than 2.36 Crore Vaccine Dose…"
23,"RT @MoHFW_INDIA: #LargestVaccineDrive 
#Unite2FightCorona https://t.co/1g6fRhj0UB"
24,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/wz1w2bJRhO
25,"RT @MoHFW_INDIA: #LargestVaccineDrive 
#Unite2FightCorona https://t.co/eYkrSuQbPt"
26,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfbRz @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/pTqnSd2PDL
27,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/OOdOMr053m
28,"RT @MoHFW_INDIA: #LargestVaccineDrive 
#Unite2FightCorona https://t.co/9ECRe0NepF"
29,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/di2wQyhfK0
0,California naturopath recently pleaded guilty to falsifying COVID-19 vaccination cards and offering patients lifelong protection from COVID-19. https://t.co/D1fXUTr1uK
1,"Men who regularly used #Viagra were more likely to suffer visual impairment, including retinal detachment and blindness, large cohort study finds. #TwitteRx https://t.co/uONgloGCeF https://t.co/FMlQuC2Up3"
2,Update your knowledge of anticonvulsants -- a widely used group of drugs with this short quiz. https://t.co/pZuSYXT7Mj #TwitteRx
3,Read about the various types of #bluntforcetrauma and their potential complications: https://t.co/DfslJaZpe6
4,Familiar yourself with the damage patients can suffer at different wound sites from gunshot wounds: https://t.co/3Z1v75rn7G
5,"RLS occurred in approximately 40% of adults with X-linked adrenoleukodystrophy, based on data from 32 individuals. https://t.co/6MX1jNdPq5"
6,"DOJ will appeal a Florida judge's ruling Monday blocking the Biden administration's mandate that masks be worn on airplanes, trains, and buses. https://t.co/wgUfa2VnXl https://t.co/YpEQv2sITy"
7,"The risk of #myocarditis is higher with the Moderna vaccine than with the Pfizer vaccine, according to one of the largest studies on the subject to date. https://t.co/SskRAcVu3q"
8,"Despite popular belief that T1D is a disease that starts in childhood, its onset in adults is substantial, researchers report. https://t.co/4PUOfukKCo #MedTwitter https://t.co/zeWI7rUDHy"
9,Antidepressant use is not associated with significant improvement in HRQoL in patients with depression https://t.co/NFPNeXtEDC
10,"The number of suspicious prescriptions involving tramadol increased nearly twofold
https://t.co/koTpK4oceA https://t.co/Z0oaHt4ZGx"
11,Patients with AML and high-risk MDS had stronger immune responses after two vaccine doses than patients with ALL. https://t.co/eu0kaySxsT
12,FDA throws the flag against 12 companies selling OTC skin lightening products https://t.co/ooXrWvCadL #hydroquinone #melasma #DermTwitter
13,"Bird flu, which has been spreading across the U.S. and affecting birds in most states, has now been detected in bald eagles. https://t.co/XGzW9ufWh0"
14,Simplified BP approaches may be appropriate for population screening https://t.co/q4IuBFmd8l https://t.co/rujO0DYVhj
15,"Many Medicare beneficiaries without low-income subsidies do not fill high-price specialty drug prescriptions, new research shows. https://t.co/aWPeWQMGNd"
16,Sips of pickle juice may be all it takes to lessen the severity of muscle cramps in adults with cirrhosis. https://t.co/yq6dXIXDVE #LiverTwitter
17,NPs granted full practice authority in another state https://t.co/yJcF1pjT9B
18,"Top med schools: 2022 rankings released
https://t.co/wO9FK4VAVQ"
19,"For people with T2D, reductions in four risk factors — A1c, BMI, systolic blood pressure, and LDL cholesterol — can add months to years of life expectancy, new modeling study shows. https://t.co/KEWPzJIEQy"
20,Individuals with substance use disorders are at higher risk of being infected by and dying from COVID-19 — even if they are fully vaccinated. https://t.co/cEypJRqjRY
21,Ages 6 and up + higher ferritin levels at hospital admission predict severe illness in COVID-related MIS-C https://t.co/zMpVraM7vj
22,"Des microplastiques jusque dans les poumons
https://t.co/0n4a1oHKZg"
23,"An otherwise healthy 46-year-old woman presents with diffuse, sharp abdominal pain that awakens her from sleep. Solve her case: https://t.co/7D3VIkfcFS"
24,A patient with dysphagia who is unable to speak presents quite a neurological diagnostic challenge. https://t.co/nJM8f26TZ5
25,"During the first year of the pandemic, at least four people in Michigan were infected with a coronavirus variant that has been found in mink. https://t.co/BDjnnMEJmy"
26,"While the safety of melatonin is under investigation, @AASMorg advises against using the popular aid for insomnia. https://t.co/RIeeNILkTX"
27,"Following last weekend's Easter and Passover celebrations, the medical community is watching closely for a potential rise in cases. https://t.co/Xfca4AXyyw"
28,"Applauded by some, while others expressed concern -- the reaction to the end of the mask mandates is mixed. https://t.co/incIJWyN28 https://t.co/uBZqs0El0F"
29,Are all medical errors now crimes? https://t.co/4bMrcqJJe7 https://t.co/GodhZWqNs1
0,"Russian forces will seize the strategically important Ukrainian port city of Mariupol today, a top ally of Vladimir Putin has claimed after Ukraine warned its forces are unable to ""hold out for much longer"" https://t.co/Y0N9cuOOHG"
1,"The Kremlin has declared that capturing the Donbas region of eastern Ukraine is now its main goal. But will they succeed?

On the Sky News #Daily podcast with @LeahBoleto, @haynesdeborah joins us in Kyiv, and @Stone_SkyNews is in Dnipro, but has just been in the Donbas region."
2,Queen Barbie doll among souvenirs to celebrate Platinum Jubilee https://t.co/1554Sp4vIR
3,"Labour leader Sir Keir Starmer proceeds with his opening statement in the Commons by saying he ""seeks to defend the simple principle that honesty, integrity and telling the truth matter in our politics"". 

https://t.co/cpsQowQBvI

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/9LUM0TM6dG"
4,RT @SkyNewsPolitics: Conservative MPs will be given a free vote in today's debate on whether Boris Johnson should be investigated for misle…
5,"BREAKING: Labour leader Sir Keir Starmer has withdrawn his comments from yesterday after he accused Boris Johnson of criticising the BBC's coverage of Ukraine.

Read more here: https://t.co/DYbhlf13Xa

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/OlyyaCLpA0"
6,The Florida Senate has passed a bill that would dissolve the special taxing district that allows Walt Disney Co to self-govern in its theme park area https://t.co/26LI56kJob
7,Israeli fighter jets have carried out airstrikes on the Gaza Strip for the second time in three nights https://t.co/09dYYvnMo8
8,Government drops order to Tory MPs to block partygate parliamentary probe https://t.co/3H9ALJC3RT
9,Watch live: MPs debate and vote on whether the PM should be investigated for misleading Parliament https://t.co/jHrW8hC3HY https://t.co/h4OybogrhU
10,"The industrial complex in Mariupol - the last remaining Ukrainian stronghold in the besieged city - will not be 'stormed' by the Russian military as President Putin considers it 'pointless'.

Read more here: https://t.co/qAFCznP4iX https://t.co/WmW75jSXJy"
11,"Nestle, the maker of KitKat chocolate bars and Nespresso coffee, has warned that rising costs will force it to raise prices again this year https://t.co/ZhFIFIYZaG"
12,Erik ten Hag: Manchester United appoint Ajax boss as club's new manager https://t.co/GJMTr0hD4l
13,"The Band of the Coldstream Guards play 'Happy Birthday' for her Majesty at Windsor Castle as The Queen turns 96 today.

https://t.co/J1Axvth9jD

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/HYylxXs3zk"
14,Novak Djokovic criticises 'crazy' Wimbledon ban on Russian and Belarusian tennis players over Ukraine war https://t.co/Dc2qi18oRv
15,Car insurance costs are predicted to continue climbing as premiums nudge 18-month high https://t.co/jIgrrKYsxP
16,A healthcare worker was infected with COVID-19 twice in just 20 days - believed to be the shortest time between two infections documented since the pandemic began https://t.co/e4KAtlOCCu
17,"BREAKING: Sir Lewis Hamilton and Serena Williams are committing millions of pounds to one of the bids vying to become the new owners of Chelsea Football Club.

@MarkKleinmanSky has the latest.

https://t.co/4Jm5hgXDVc

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/lkrqfDbS8P"
18,"""I'm very keen for every possible form of scrutiny"" says the PM, adding that he thinks we should ""let the investigators do their stuff and then knock this thing on the head"".

https://t.co/4yOScIjlzo

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/BFqtsVc3h2"
19,"""We want to stick together"".

PM Boris Johnson says both India and the UK ""share anxieties about autocracies around the world"" and are seeking to 'deepen their security and defence partnership'.

https://t.co/eCboOcQYvN

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/jkDAPyX2Ql"
20,England travel rule implementation slammed in major report
21,RT @SkyNewsBreak: Sky News has learnt that Serena Williams and Sir Lewis Hamilton have agreed to invest millions of pounds in the takeover…
22,"The government's coronavirus hotel quarantine system, which was originally expected to break even, cost the taxpayers almost £400m - its own spending watchdog has found https://t.co/VeBWwydyc1"
23,"India was ""very strong"" in its condemnation of Russian atrocities in Bucha says PM, adding that the two countries have had a ""different relationship"" compared to Russia and the UK and ""we have to reflect that reality""

https://t.co/hoUEZJ0XeG

📺 Sky 501, Virgin 602, Freeview 233 https://t.co/lpq7HS4cq7"
24,Ukraine war: Russia close to taking Mariupol as Kharkiv comes under under intense bombardment https://t.co/TosTqF0uf5
25,Chelsea FC sale: Sir Lewis Hamilton and Serena Williams pledge funds to Broughton bid https://t.co/4ATZvkgElP
26,"Model Blac Chyna's relationship with the Kardashian family was ""exciting"" in the early days of her relationship with ex-fiancee, Rob Kardashian, before turning sour, a court has been told https://t.co/kRwgYcRFpo"
27,Sir David Attenborough named 'Champion of the Earth' by UN https://t.co/32E1r3CzWg
28,Florida Senate passes bill that would strip Disney of special self-governing status https://t.co/0zjHBC8p1M
29,Channel migrants are 'choosing to be putting their lives at risk' says minister Nadhim Zahawi  https://t.co/7vEmXLNV2L
0,RT @nighealthwatch: #COVID19 will not be the last disease with the potential to grow into a pandemic. How do we ensure that #Nigeria is wel…
1,"Masks are still a key way to prevent the spread of #COVID19. 

When you wear a mask in public domains and indoor gatherings. 

Ensure it's fitted properly over your mouth and nose.

#TakeResponsibility https://t.co/12S2OUhoAK"
2,"This report includes:

▪️Data for 19th and 20th April 2022
▪️6 States with zero cases reported: Delta, Kaduna, Kano, Plateau, Rivers and Sokoto

For a breakdown of cases by state visit https://t.co/zQrpNeOfet https://t.co/k93f2tY4gB"
3,"9 new confirmed cases of #COVID19Nigeria;

FCT-6
Lagos-3

255,679 confirmed 
249,886 discharged 
3,143 deaths 

#TakeResponsibility https://t.co/2bb0dtNSjd"
4,"RT @NphcdaNG: Hello Nigerians, here is an instructional video to guide you through your COVID-19 vaccination card verification. Please foll…"
5,"📚

#AntimicrobialResistance poses one of the greatest threats to human health in sub-Saharan Africa

Our Field Epid, @beeodune carried out a comprehensive estimate of the burden of AMR &amp; writes about the implications of the study results for Nigeria

Read
https://t.co/RsoAaX1bLb https://t.co/5PriiB4Pmu"
6,"📚

#AntimicrobialResistance poses one of the greatest threats to human health in sub-Saharan Africa

Our Field Epid, @beeodune carried out a comprehensive estimate of the burden of AMR &amp; writes about the implications of the study results for Nigeria

Read
https://t.co/RsoAaX1bLb https://t.co/gq2hX0HYCo"
7,"Here are simple &amp; effective actions to take to help protect yourself, family &amp; community against #COVID19.

💉#GetVaccinated
😷Wear a face mask in public &amp; indoor gatherings
🌬️Keep spaces well ventilated
🧼 Wash your hands frequently
🤒 Stay at home when ill

#TakeResponsibility https://t.co/EpUMetum7A"
8,"In this article, we share Nigeria's experience of conducting a country-led midterm self-assessment using a slightly modified application of the second edition of the @WHO JEE and the new @WHO benchmarks tool.

🔗Read detailed article via
https://t.co/oOddQnFnZp https://t.co/LyIpq796Uw"
9,"In response to lessons learned from the 2003 severe acute respiratory syndrome outbreak, @WHO accelerated the revision of the International Health Regulations - essential for addressing global health security, which Nigeria adopted in 2005 &amp; came into force in 2007. https://t.co/wsy9Nw6lKd"
10,"#NCDCPublication📚

Several disease outbreaks have been recorded in Nigeria in the last 10 years with imported cases of #Ebola in 2014, annual outbreaks of #YellowFever, #LassaFever, #CerebrospinalMeningitis, #cholera, #measles, and most recently, #COVID19. https://t.co/gE6DHqoANt"
11,"#Lassafever is a zoonotic disease transmitted through direct or indirect contact with rats.

Practice personal and environmental hygiene to prevent the infestation of rats in our homes and communities.

#TakeResponsibility https://t.co/KvRNDswYI5"
12,"Read more in the Nigerian Manual of Infection Prevention and Control:

https://t.co/AvWwV4SqC9

#NCDCPublication📚 https://t.co/rvrO5q9BO4"
13,"The overall goal of Infection Prevention &amp; Control is to maintain an environment of care that minimises risks of infection for patients, staff &amp; visitors

These #IPC guidelines must be practised by all #HCWs in public &amp; private primary, secondary &amp; tertiary healthcare facilities. https://t.co/ngzyFYASbY"
14,"This report includes:

▪️Data for 16th to 18th April 2022
▪️6 States with zero cases reported: Abia, Delta, Kaduna, Kano, Plateau and Sokoto

For a breakdown of cases by state visit https://t.co/zQrpNeOfet https://t.co/2n809ffTLq"
15,"22 new confirmed cases of #COVID19Nigeria;

Lagos-10
Nasarawa-6
FCT-3
Rivers-3

255,670 confirmed 
249,879 discharged 
3,143 deaths 

#TakeResponsibility https://t.co/OptwsncdgM"
16,"RT @NphcdaNG: All people across the world have a fundamental right to adequate health care. Through our new Re-imagining PHC programme, we…"
17,"#Lassafever is preventable.

Be a guardian of proper hand hygiene in your community

Promote frequent #handwashing with soap and running water. https://t.co/NDAOGSZRBb"
18,"Infection Prevention &amp; Control #IPC is fundamental to the delivery of safe healthcare by workers and the provision
of safe services for patients.

Effective #IPC implementation is critical to preventing the spread of healthcare-associated infections.

🔗 https://t.co/AvWwV4SqC9 https://t.co/ls6k893mTt"
19,"Our weekly #COVID19Nigeria situation report(Epi Week 14) has been published.

The weekly #COVID19 situation reports provide a summary of the epidemiological situation, datasheet &amp; response activities in Nigeria.

Download:
https://t.co/Xo1WG4QDYT

#TakeResponsibility https://t.co/psRWASoFyc"
20,Get vaccinated. #YesToCOVID19Vaccine https://t.co/S19HscpPsu
21,"#HappyEaster Nigeria!

We wish you and your loved ones a happy, safe and healthy celebration! https://t.co/T8AmQJIjoE"
