statement,date
"Says Johns Hopkins virologist ""James Kelly"" said the COVID-19 vaccine “discriminates, divides, and judges society as it is.”","February 3, 2022"
Research from Japan shows “ivermectin is effective against omicron in Phase III trial.”,"February 2, 2022"
‘The Simpsons’ predicted Canada’s trucker convoy protest.,"February 2, 2022"
“The convoy in Canada has made the Guinness Book of World Records for the longest convoy.”,"February 2, 2022"
Picture shows the “Freedom Convoy” trucks in Canada.,"February 2, 2022"
"""British data show the COVID shots are an abysmal failure, as COVID infection rates in the U.K. are higher among the ‘fully vaccinated’ in all adult cohorts.”","February 1, 2022"
Says Jen Psaki said in January 2022 that people will start seeing direct deposits in their bank account this weekend and payments to eligible Americans will continue for several weeks.,"February 1, 2022"
The CDC staged “the ‘escaping monkeys’ as a cover story for releasing the next bioweapon.”,"January 31, 2022"
"Military data from 2021 show military members experienced spikes of 300% in miscarriages, almost 300% in cancer diagnoses and 1,000% in neurological issues.","January 31, 2022"
Photo shows Amish who drove 2.5 hours with the “Freedom Convoy” to cook them food at their next stop.,"January 31, 2022"
"Vaccine makers “are shipping lots of jabs with varying ingredients, potency & EVEN placebo lots.”","January 31, 2022"
"""Large, peer-reviewed research study proves ivermectin works” as a COVID-19 preventative.","January 28, 2022"
“All these athletes are dropping dead on the field” after receiving the COVID-19 vaccination.,"January 28, 2022"
"“There’s 150 I believe now – it’s over 100 professional athletes dead, professional athletes, the prime of their life, dropping dead that are vaccinated, right on the pitch, right on the field, right on the court.""","January 26, 2022"
"COVID-19-induced pneumonia is ""is actually mast cell degranulation of the lungs,"" a type of allergic reaction.","January 25, 2022"
President Joe Biden gave Congress an exemption from vaccine mandate,"January 25, 2022"
Says Louie Anderson was flying to appear on Conan O’Brien’s show when he became ill a few weeks after receiving his third vaccine dose.,"January 25, 2022"
"A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and the full list of ingredients is secret because of the emergency use authorization.","January 24, 2022"
The CDC said that 75% of COVID-19 deaths have involved people with at least four comorbidities.,"January 24, 2022"
Four players have dropped out of the Australian Open with “chest pains.”,"January 21, 2022"
Novak Djokovic is the first professional athlete to be banned from a major sporting event for “not taking drugs.”,"January 20, 2022"
“If you stop testing (for COVID-19) it all goes away and people just have colds like before.”,"January 19, 2022"
"""Even the WHO has conceded that the (SARS- CoV-2) virus … is no more dangerous than the common flu, with an infection fatality rate of 0.14%.""","• January 19,"
Carlos Gimenez “wants a national database to track you and discriminate against you.”,"January 19, 2022"
Video shows Alexandria Ocasio-Cortez pouring shots for a group of people “days before testing positive” for COVID-19.,"January 18, 2022"
Video shows Rafael Nadal and Roger Federer laughing at Novak Djokovic after he was stuck in an Australian airport.,"January 13, 2022"
“The CDC director just said that 75% of ‘Covid deaths’ occurred in people with at least four comorbidities.”,"January 12, 2022"
"""Biden's CDC Director ADMITS Her Own Employees Aren't Getting Vaccinated.""","January 11, 2022"
Says Bob Saget died from the COVID-19 vaccine.,"January 10, 2022"
"“We have over 100,000 children, which we’ve never had before, in serious condition, and many on ventilators” due to the coronavirus.","January 7, 2022"
“No one has been hospitalized for” the omicron variant of COVID-19.,"January 7, 2022"
“Data from around the world suggests that omicron favors the fully vaccinated.”,"• January 7,"
"If you have “natural immunity,” getting vaccinated against COVID-19 “is more likely to harm you severely.”","January 7, 2022"
"""Germany: 96% of Latest Omicron Patients were FULLY Vaccinated – Only 4% Unvaccinated”","January 7, 2022"
"""Half a million sharks could be killed to make the COVID-19 vaccine.""","January 7, 2022"
"When children are given vaccines for COVID-19, “a viral gene will be injected into your children's cells. This gene forces your child’s body to make toxic spike proteins. These proteins often cause permanent damage in children’s critical organs.""","January 6, 2022"
"Tylenol ""ruins your ability to kill” COVID-19.","January 5, 2022"
“Pfizer CEO: New Pill Will Have a Microchip That Transmits Info Once You Swallow It!”,"January 5, 2022"
President Joe Biden “never had a” COVID-19 “plan.”,"January 5, 2022"
"""Yale study: Vaccinated people more likely to be infected than those without the jab.”","January 4, 2022"
The CDC finally admits its COVID-19 test can’t tell the difference between the virus and the flu,"January 3, 2022"
Vaccines are why flights have been shut down worldwide.,"• January 3,"
“WHO Director-General: The vaccines are being used to kill children.”,"December 23, 2021"
Teens are “more likely to be hospitalized with myocarditis” from the COVID-19 vaccines than to be “hospitalized with COVID.”,"December 23, 2021"
"""Electromagnetic radiation from wireless technologies, including and especially 5G, can cause the same symptoms as COVID-19!""","December 21, 2021"
"The omicron variant of COVID-19 “came out” in 2021, but “the copyright on this book” about the variant is 2020.","December 20, 2021"
“Maybe they’re just calling the common cold … the omicron variant.”,"December 20, 2021"
“Moderna patent uncovers horror nanocensor contained in bioweapon.”,"December 20, 2021"
“Santa Claus arrested by German police for not wearing a mask.”,"December 17, 2021"
“Dr. Fauci opens up the possibility that the COVID-19 vaccine could be making people more likely to be infected by the virus.”,"December 17, 2021"
Photo shows “the jabbed and the unjabbed … separated with a fence in a supermarket” in Germany.,"December 17, 2021"
Microsoft and Bill Gates created a 1999 video game called “Omikron.”,"December 17, 2021"
Soft-tissue cancer diagnoses have “climbed through the roof” in 2021 as a result of COVID-19 vaccines.,"December 16, 2021"
"""2,809 Dead Babies in VAERS Following COVID Shots as New Documents Prove Pfizer, the FDA, and the CDC Knew the Shots Were Not Safe for Pregnant Women""","• December 15,"
Says Anthony Fauci “wants Americans to get 4 shots per year.”,"December 13, 2021"
"At Lions Gate Hospital in Vancouver, “13 babies were reportedly stillborn at the hospital in a period of 24 hours. All of their mothers had received a COVID-19 injection.”","December 13, 2021"
"Deaths from vaccines have totaled 1,621 from Johnson & Johnson, 4,799 from Moderna, 13,039 from Pfizer and 73 from unknown vaccines. And this is an undercount because “only 1% of deaths are reported.”","December 10, 2021"
Warnings about heart problems and blood clots in cold weather are to cover up COVID-19 vaccine side effects.,"December 10, 2021"
"The COVID-19 vaccines ""suppress the immune system"" and make people more susceptible to HIV, shingles and herpes.","December 10, 2021"
"Society is “choosing blood clots and heart problems over cold and flu symptoms, or even no symptoms at all.”","December 10, 2021"
"""COVID-19 vaccines do not stop transmission of COVID, but instead increase it.”","December 9, 2021"
"A campaign poster for New Zealand Prime Minister Jacinda Ardern with the slogan, “No jab. No job, no refunds.”","December 8, 2021"
"""Pathogens evolve to become less, not more, virulent over time” because otherwise, “they’d destroy their hosts which they depend on to live.”","December 8, 2021"
“Only the fully vaccinated should fear the new ‘worst ever’ Covid-19 variant; data shows they already account for 4 in every 5 Covid deaths”,"December 7, 2021"
A video shows people in Romania protesting COVID-19 vaccines.,"December 7, 2021"
Says Boris Johnson faked getting his booster shot.,"December 7, 2021"
"""Tap water is testing positive for COVID!”","December 6, 2021"
COVID-19 vaccines are gene therapy and a recent Forbes article proves that.,"December 3, 2021"
Heart complications are one symptom “listed” for the omicron variant and are being “used to cover up effects” of COVID-19 vaccines.,"December 2, 2021"
Athletes are collapsing with heart-related issues due to the COVID-19 vaccines,"December 1, 2021"
“Only Reuters” reported that the doctor who detected the omicron variant said its symptoms are “very mild.”,"November 30, 2021"
"“COVID death rates 4 to 1, vaccinated to unvaxxed”","November 30, 2021"
The omicron variant’s name is evidence the coronavirus pandemic is a hoax.,"November 30, 2021"
“Celine Dion has been paralyzed by the COVID vaccine and cancels her tour.”,"November 29, 2021"
Photo shows people recently protesting in Austria.,"November 29, 2021"
“Vitamin D levels of 50 ng/mL correlates to zero mortality rate from COVID.”,"November 24, 2021"
"""Fauci admits Covid vax doesn't work""","November 23, 2021"
COVID-19 vaccines contain luciferase.,"November 19, 2021"
"""Bill Gates just admitted that the Pfizer and Moderna mRNA vaccines don’t work well.""","November 17, 2021"
The COVID-19 vaccines “failed miserably” in animal trials and are “a type of gene therapy that several top scientists warn will kill you.”,"November 17, 2021"
“Disturbing Pfizer ad tells kids they’ll get superpowers from COVID jab.”,"November 16, 2021"
"A new medical diagnosis code has been designated for people who decline vaccines, and it will be used to help determine who will go into ""education camps.""","November 16, 2021"
