,tweet,misclassified
705,mi c pediatric coronavirus still puzzle,True
792,recoveryrate covid 19 case 77 31 7 9 2020 moreover goi fast tracked approval testing kit clinical trial vaccine amp medicine covid 19 meanwhile people contribute towards controlling coronaviruspandemic 2 3,True
807,individual covid 19 infectious uncertain per current evidence period infectivity start 2 day prior onset symptom last 8 day covid covid 19 corona coronavirus coronavirusindia 2 2,True
809,coronavirus vaccine ready ship soon fda approves,True
857,height covid 19 pandemic new york city first responder faced nearly triple number call cardiac arrest,True
867,variation mortality infection rate based upon genome virus host immunity also playing role,True
873,rt poynter remember coronavirus vaccine ready market vaccine furthest along,True
924,coronavirus franchising ended government seek new rail future,True
926,coronavirus affect people blood type,True
927,nashville woman encouraged learn obesity alone appear increase risk covid 19 mortality health,True
943,honduras first confirmed case traveled taiwan earlier mean severe community transmission taiwan,True
947,first vaccine welcome tool fighting covid 19 may turn limited use lesson learned aid value building scientific infrastructure beyond vaccine,True
949,news episode coronavirus daily update available binge watch bbc iplayer inevitable second peak,True
950,uk princecharles cured covid19 ayurveda homeopathy treatment bengaluru based holistic resort union minister state ayush shripad naik claimed thursday,True
986,government roadmap ease covid 19 restriction set 5 phase phase 3 week review process,True
1026,data indicate novel coronavirus capable spreading easily sustainably person person new virus essentially immunity covid19 population,True
1028,coronavirus child stay school positive test bubble pm say,True
1060,hundred doctor start residency time leaving covid front line understaffed,True
1092,morning director general dr tedros emphasised number vaccine clinical trial currently silver bullet covid 19,True
1124,rt wionews asked world health organization 1 million coronavirus test kit say icmr g dr balram bhargava coronavi,True
1125,case big number testing mortality rate way,True
1131,400 yatris stuck vaishno devi due covid19,True
1134,second coronavirus lockdown would government failure act god sir keir starmer said,True
1143,new mask exemption card indicates medical condition asshole covid19,True
1151,56 coronavirus death day enough collapse world economy even though thousand people die daily tuberculosis hepatitis b disease,True
1160,abuse deterrent oxycontin solve opioid epidemic,True
1161,factchecking israel already discovered covid19 vaccine,True
1172,sars go away today coronavirus keep spreading,True
1179,doctor send crystal clear message importance mask covid prevention via hansabhargavamd futuredocs,True
1191,aiims released list respiratory symptom covid 19 similar disease,True
1223,cto important new md title created address coronavirus,True
1229,hydrogel part genome modifying covid 19 mrna vaccine delivery system hydrogel connect internet,True
1254,helping patient post covid post intensive care syndrome coronavirus,True
1264,rt factchecknet like wash hand fight covid19 scrub chat contain infodemic guideline,True
1337,u hospital preparing 96 million coronavirus infection nearly half million death leaked document reveal,True
1349,lack coronavirus testing u national disgrace,True
1406,mosquito bite fast track transmission,True
1457,good people twitter especially young child partner symptom lockdown best describes approach,True
1460,coronavirus slovenia guadeloupe added england quarantine list thailand singapore removed,True
1473,people drinking sanitizer get alcohol high dangerous trend,True
1504,20 country covid19 case together home many people india conducted 28x test india factcheck,True
1515,height covid 19 pandemic new york city first responder faced nearly triple number call cardiac arrest,True
1521,really need move hydroxychloroquine say expert,True
1537,infant born cohort 31 covid 19 positive mother tested negative virus height new york surge,True
1540,update covid 19 investigational drug therapy,True
1541,anyone mumbai requiring plasma covid treatment please contact group people ready make plasma donation,True
1547,chairman british medical association dr chaand nagpaul tell sky news doctor extremely worried prepared second wave coronavirus kayburley,True
1550,woman move beyond bread making stage lockdown break ground mill apartment covid19,True
1588,test quality reusable mask blowing lighter wear,True
1620,burundi 274 case covid 19 one death april 30,True
1631,northern ireland testing covid 19 rate 10 time scotland reported 9 may 2020,True
1689,mosquito season dengue rise covid19 mosquito spread coronavirus factcheck,True
1722,raisin prevents clotting thus help fight covid19,True
1725,chinese scientist racing start human trial covid vaccine august,True
1729,concept asymptomatic covid 19 center confusion controversy week,True
1770,people defying stay home order fill arizona beach,True
1804,oh really meat packing plant unhealthy asks smug ghost upton sinclair newsinphoto meatpacking covid19,True
1829,vergiflu 400 mg vergiflu favipiravir indiafightscovid19 covid19 convergebio togetherletsbringthechange,True
1858,looter maintain social distancing creating anarchy covid19 dranthonyfauci looter,True
1867,acc novel coronavirus may persist surface hr several day duration may vary different condition type surface temperature humidity etc,True
1883,48 pcr test tokyo may 19th,True
1915,see clive palmer ad spruiking hydroxycholoroquine treatment covid19 newscorp paper recently madmorris run rule claim ad coronacheck breakfastnews,True
1920,two member atletienglish test coronavirus positive ahead ucl quarterfinal sure rest team field circumstance championsleague,True
1927,test airline strong test getting getting test train getting getting,True
1969,estimated size unsustainable corporate debt mountain created covid19 pandemic slashed 70bn influential city figure,True
1979,hospital acquired coronavirus reach staff well patient,True
1981,social distancing work preventing infectious disease,True
1991,arterial venous thrombosis issue coronavirus role anticoagulation,True
2047,man face impossible choice protecting covid amp looking like hardy bastard,True
2049,donating blood result covid 19 testing,True
2093,coronavirus jedward call celebrity influencers speak wearing mask,True
2111,juillet dix sweden covid19 case spiking face mask social distancing get covid take hydroxychloroquine amp zinc gone 6 day,True
