,Tweet
10,"If you’re eligible for a #COVID19 booster and haven’t received one, make a plan to get one now.

Everyone ages 12 years and older should get a booster when it’s time.

Find one near you: https://t.co/2akIUZ14Rd. https://t.co/eM1aACqqxh"
11,RT @CDC_DASH: New CDC data now available showing the impact of COVID-19 on high school students. The findings describe the range of issues…
12,"The latest MMWR Weekly #COVID19 Briefing is live. This episode covers 3 reports, including reports highlighting COVID-19 mortality &amp; vaccine coverage in Hong Kong, Omicron infections in people previously infected w/ Delta and more. Listen &amp; subscribe: https://t.co/I9Zs1YquaF. https://t.co/GYPBWgtJtd"
13,"H5N1 bird flu continues to be detected in wild birds and poultry in the U.S. CDC is working with local, state, and federal partners to monitor people with exposures to infected birds &amp; is prepared to respond if these viruses spread to people: https://t.co/1XpBDZZdpF. https://t.co/uOkS3w9k03"
14,"More than 11,700 healthcare facilities are using electronic case reporting (eCR) for #COVID19 &amp; other reportable conditions. eCR enables real-time information exchange between healthcare &amp; public health, which is critical in public health emergencies. https://t.co/fRhIsHKoNY https://t.co/0uqK9ErjrO"
15,"New @CDCMMWR finds nat'l vaccination coverage among kindergarteners dropped below 94% for the 2020-21 school year.

Parents: Make sure your child is up to date on routine vaccinations to protect them against common &amp; sometimes serious diseases. Learn more: https://t.co/ly0blYebXw https://t.co/JmVNyEu2fT"
16,"Over 9 million children ages 5–11 years have received at least one dose of #COVID19 vaccine.

Enroll in v-safe so you can quickly and easily share with CDC how your child feels after getting a COVID-19 vaccine.

Learn more: https://t.co/S4ZmF2foa9. https://t.co/JW2RQIxDdm"
17,CDC nationwide health alert: A cluster of children identified w/ #hepatitis and #adenovirus infection. Physicians should be alert for symptoms &amp; report any suspected hepatitis cases of unknown origin to their local and state health departments. https://t.co/vzi2xjmKRh
18,"About 1 in 25 packages of raw chicken at the grocery store is contaminated with #Salmonella. Avoid getting sick:
 ❌ Keep raw chicken away from ready-to-eat foods, like salads
 ✔️ Cook chicken to 165°F

More about chicken and food poisoning: https://t.co/pDNhOzQvun. https://t.co/iUqQwN7x1O"
19,"Are you up to date on your #COVID19 vaccines?
You’re up to date on COVID-19 vaccines when you’ve received all vaccines recommended for you, including additional doses and boosters when you’re eligible.
Learn more: https://t.co/009bOerScg. https://t.co/CgpsD6B96c"
20,"Want to become a CDC #DiseaseDetective? 🕵️‍♀️🕵️

CDC’s Epidemic Intelligence Service officers go the distance to address #PublicHealth issues around the world. 👣 

Tag someone you think should apply &amp; submit your application by May 31: https://t.co/keaIG4cMqH. https://t.co/nMCUpFfS3R"
21,CDC continues to recommend that people wear masks in all indoor public transportation settings. See full CDC statement:  https://t.co/xY9YcSlSxr
22,"RT @CDC_DASH: Young people need all the support we can give them, and schools serve as a critical venue to provide this support. #CDCABES h…"
23,"RT @CDC_DASH: New CDC data shows the pandemic affected the #MentalHealth of high school students: 
▪️2 in 5 students felt emotional distres…"
24,RT @CDC_DASH: School connectedness is one particularly powerful tool for mitigating the challenges adolescents have faced throughout the pa…
25,"As of April 18, 2022, national forecasts predict 200–4,000 new #COVID19 hospitalizations will likely be reported on May 13. More: https://t.co/Xys80ZGlxV. https://t.co/QyL0jWsuxD"
26,"During Medical Laboratory Professionals Week, recognize &amp; celebrate the lab professionals in your life. 🔬 

📣 Tag someone you want to thank for the contributions they make to the health of patients and communities: https://t.co/AY17MoX0ZV.
#MLPW22 #LabWeek2022 https://t.co/SqEYy43scY"
27,"#HCPs: The ACIP has new recommendations on Hepatitis B, Pneumococcal &amp; Zoster vaccines. This Current Issues in Immunizations recording now available at https://t.co/lmghb6s6pC. https://t.co/QEJ6NgnYDN"
0,ICMR-NIIH developed a simple and rapid diagnostic kit for Haemophilia and von Willebrand disease (vWD). @MoHFW_INDIA @DeptHealthRes @AmritMahotsav @makeinindia @IcmrNiih https://t.co/SRXRclHrMN
1,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqvXAsZ @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/2DpGLs9qtl
2,RT @mansukhmandviya: India's efforts to eliminate malaria &amp; save lives with various Govt strategic interventions have been extremely succes…
3,"Malaria and other vector-borne diseases are completely preventable! Starting this #WorldMalariaDay, let us use simple, protective techniques and support India’s efforts towards reaching the #ZeroMalariaTarget #ICMR4NewIndia https://t.co/tQj5d3UO4q"
4,"RT @MoHFW_INDIA: #Unite2FightCorona 
#AmritMahotsav https://t.co/6iqZWINElX"
5,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/93CsWLs5Fj
6,"RT @mansukhmandviya: कश्मीर से लेकर कन्याकुमारी,
जनऔषधि परियोजना का विस्तार निरंतर जारी।

प्रधानमंत्री @NarendraModi जी कल जम्मू कश्मीर में…"
7,"RT @MoHFW_INDIA: #LargestVaccineDrive 
#Unite2FightCorona 
#AmritMahotsav https://t.co/wKFwbD1Yb2"
8,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/uO4B1J2JRe
9,"RT @MoHFW_INDIA: #Unite2FightCorona
#LargestVaccineDrive

𝗖𝗢𝗩𝗜𝗗 𝗙𝗟𝗔𝗦𝗛

https://t.co/hD3M6704nb https://t.co/3WlaBeGTUF"
10,"RT @icmrnirrh: Training of 116 ASHA workers on prevention, first aid &amp; early referral of #snakebite cases was conducted at Khalapur, Distri…"
11,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/ADVMmmIJoG
12,"RT @MoHFW_INDIA: #LargestVaccineDrive 
#Unite2FightCorona https://t.co/AOzHxwcfs4"
13,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/8dVkHtrrwq
14,RT @MoHFW_INDIA: #Unite2FightCorona https://t.co/ueAiKzFOGm
15,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/fBaAdAySdR
16,RT @mansukhmandviya: देश में ब्लॉक स्तर पर हेल्थ मेलों का आयोजन हो रहा है। जिसमें फ्री टेस्टिंग की सुविधा प्रदान की गई जिसका लाभ नागरिकों…
17,"RT @MoHFW_INDIA: #LargestVaccineDrive 
#Unite2FightCorona https://t.co/jWtGYPnxB7"
18,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/YJc4ikV9fh
19,RT @mansukhmandviya: Glimpses of the Block Level Health Melas organised across the nation as part of the #AzadiKaAmritMahotsav celebrations…
20,RT @MoHFW_INDIA: #Unite2FightCorona https://t.co/DCv5TyZJ5t
21,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/EYHFHhTUsk
22,RT @mansukhmandviya: प्रधानमंत्री @NarendraModi जी ने आत्मनिर्भर भारत का विजन रखा था और उसमें सबसे महत्वपूर्ण भूमिका निभाई भारत की अपनी स्व…
23,"RT @mansukhmandviya: हेल्थ का मेला!

#4YearsofHWC उत्सव के तीसरे दिन आज देशभर में ब्लॉक स्तर पर हेल्थ मेलों का आयोजन होगा। जंहा स्वास्थ्य…"
24,"RT @MoHFW_INDIA: #IndiaFightsCorona 
#Unite2FightCorona https://t.co/gy4LuyZ6Dv"
25,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/A83p7KmVYE
26,"RT @mansukhmandviya: हेल्थ एंड वेलनेस!

आज #4YearsofHWC उत्सव के दूसरे दिन मेरठ में आयुष्मान भारत हेल्थ एंड वेलनेस सेंटर पर योग कार्यक्रम…"
27,COVID-19 Testing Update. For more details visit: https://t.co/dI1pqwfJH7 @MoHFW_INDIA @DeptHealthRes @PIB_India @mygovindia @COVIDNewsByMIB #ICMRFIGHTSCOVID19 #IndiaFightsCOVID19 #CoronaUpdatesInIndia #COVID19 #Unite2FightCorona https://t.co/icXTHzQOBK
28,"RT @MoHFW_INDIA: Moving towards strengthening healthcare down to the last mile, watch the celebrations of the 4th anniversary of Ayushman B…"
29,"RT @MoHFW_INDIA: #4YearsofHWC 

@PMOIndia @mansukhmandviya @ianuragthakur @DrBharatippawar @PIB_India @mygovindia @AmritMahotsav @DDNewsliv…"
0,New Orleans nephrologist @DrBaudy IV brews a no-salt hot sauce that packs a punch but is kind on the kidneys. https://t.co/JRz3XZCgbS 🌶️
1,"An overall 9-fold increase in COVID antibodies with a longer interval between first and second doses of the Pfizer/BioNTech (BNT162b2) vaccine, according to data from the SIREN study. https://t.co/4XKeyyDFjj #ECCMID2022"
2,"The first causal evidence relating lack of sleep to abdominal obesity and dangerous visceral, or ""belly"" fat has been found in a controlled investigation of sleep-deprived young adults. https://t.co/jasZO4NvjC"
3,Don't miss our infographic highlighting key information on the latest physician income trends from the Medscape Physician Compensation Report 2022: https://t.co/2w8Lvum9zk
4,"A 36-year-old man is tired, thirsty, and has leg cramps. He's been told he has diabetes and hypertension, yet he can't seem to drop weight. What is your diagnosis? https://t.co/bsJn6xHEvY"
5,"Are you confident that you could recognize and treat #hypothyroidism? 
https://t.co/lYrwwlfhAx #MedTwitter"
6,The presence of mental and physical health conditions worsens the prognosis of many other chronic conditions. Review the key clinical findings from the latest research to ensure you are up to date. https://t.co/I3G3EOnzCd #MedTwitter
7,A pair of new studies offers more evidence for the value of vegetables and the risk of red meat on the cancer prevention front. https://t.co/J1Of1YGeWY
8,Skincare products containing #goatmilk linked to new-onset food allergy https://t.co/FO5nNNPoGW #DermTwitter https://t.co/h0Yg6kCcPC
9,A 35-year-old man comes to the clinic with new headaches that worsen when he stands and resolve when he lies down. https://t.co/hraI4Z6pL3 #MedTwitter
10,Remembering Dr. Faith Fitzgerald https://t.co/4nwQLQKxwC
11,Cheap and noninvasive: Detecting HPV in sanitary pads https://t.co/ODu8PfScL0 https://t.co/H8p5KJVuko
12,U.S. COVID transmission from animals to humans: Study results https://t.co/DTRXK3lFvB
13,Pickle juice found to ease muscle cramps https://t.co/YXuzMucAnH https://t.co/UI7AzAohdp
14,A Virginia physician assistant entered a plea of not guilty to a murder charge in connection with a gruesome slaying of another PA. https://t.co/8Z4kxYvNWf
15,Is there a link between COVID-19 cases or vaccinations and the increased reports of thyroid autoimmunity and its complications? https://t.co/0pQZ324diU
16,Is intermittent fasting a 'waist' of time? https://t.co/iabsSP311y #MedTwitter
17,An interview with @Scienceofsport on the science and the colliding rights of fairness and inclusion. https://t.co/MswJ69sDNH
18,FDA is advising against buying or using certain dietary supplements sold with variations of the names 'Artri' or 'Ortiga' because of potentially harmful ingredients not mentioned on labels. https://t.co/DAetuJ1Nnj https://t.co/KtMDyaBmz3
19,"Women in rheumatology: A look back, a look forward https://t.co/GRewTdlCi1 https://t.co/vgbwXeFRxk"
20,"Small HDL particles in cerebrospinal fluid may help protect against Alzheimer's disease, new research suggests. https://t.co/NDL4twEGYl"
21,Stanford's Benjamin Pinsky on the potential for even more transmissible and pathogenic versions of the SARS-CoV-2 virus to arise. https://t.co/Dce4CLACO3
22,"Do you know the latest on triggers to avoid, key aspects of presentation, and best practices for diagnosing and managing AFib? https://t.co/jHR5HLzckO #CardioTwitter"
23,A patient presents to the ED with loose stools and 'brain fog.' Is it celiac or something else? https://t.co/azUhR1Lgfv
24,"A patient presents with bilateral arm pain and has trouble grasping objects. Yesterday, he began having trouble emptying his bladder. https://t.co/HJAcCLpFqt"
25,"Use of antiseizure medications while breastfeeding is not associated with differences in child cognitive outcomes at age 3, according to new results from MONEAD study.
https://t.co/z5BRo3yANY #AANAM"
26,"New research suggests that chemotherapy treatments for recurrent high-grade gliomas indicated by an assay-guided tool called ChemoID can boost median survival, compared with physician choice. https://t.co/R0Ubnm8teL #AACR22 https://t.co/h997ql0RoS"
27,A new AGA Clinical Practice Update for evaluation and management of GERD focuses on delivering personalized diagnostic and therapeutic strategies. https://t.co/anzObePKg1 https://t.co/UrISC9nnJI
28,"More than 40 medical conditions were positively associated with having a new diagnosis of #osteoarthritis, according to research presented at #OARSI2022. https://t.co/O94BsIsSTW"
29,Survey showed that US physicians oppose sanctioning of Russian colleagues by medical societies. https://t.co/MghLRA0NE8
0,Cowboys will still be in football - but the game might be getting a new sheriff https://t.co/VRUEfwsokD
1,Independent football regulator set for football amid warning delay could be 'catastrophic' for the game https://t.co/U7giTLSowh
2,"📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/eZXy8rfXYz"
3,Anzac Day: Duchess of Cambridge makes surprise appearance with Prince William at Westminster Abbey service https://t.co/VnPZbiaXPe
4,"Ukraine war: Russia foils 'terrorist' plot to kill TV journalist, Vladimir Putin claims https://t.co/o5HZDLyKqE"
5,"BREAKING: House of Commons Speaker, Sir Lindsay Hoyle, makes a statement on the Mail on Sunday article about Deputy Labour leader Angela Rayner. 

Latest: https://t.co/4nArb9ZyLV

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/yYTvQLzDFu"
6,P&amp;O Ferries to resume Dover to Calais sailings with passenger services next week https://t.co/y6V4FtuuCs
7,First same-sex marriage held in British Antarctic Territory as research ship's crew tie the knot https://t.co/q4lDvlcUva
8,Burger King plans 200 new restaurants in the UK over next five years https://t.co/eHXh5FQV8g
9,"Many people in Britain are facing an increase in energy bills, council tax and the effects of a national insurance tax rise - as well as inflation hitting a 30-year-high of 7% earlier this month https://t.co/xxXMonynbe"
10,Malandra Burrows: Former Emmerdale star reveals breast cancer diagnosis https://t.co/h9cHwP7JeS
11,"Passengers are expected to start using the self-driving bus this summer as Scotland begins testing the ""hugely exciting project"" https://t.co/stqeAsiKLF"
12,Google Docs criticised for 'woke' inclusive language suggestions https://t.co/GAGmJV39MD
13,"""It's a sensible thing to add fans into the boardroom.""

Former chief executive of the FA, Mark Palios says it is possible to find value in giving fans a seat at the table.

Today's top stories: https://t.co/iOm40vn1kt

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/4J2B9VI02J"
14,"Oil prices have hit near two-week lows, with analysts pointing to events in China and the US as possible reasons for a fall in demand https://t.co/gqRUTasta9"
15,Businessmen return from $55m trip to space station after over-staying by a week https://t.co/23AszcOgMx
16,"Emmanuel Macron may have defeated Le Pen, but many of the issues raised during the campaign may force him to focus his energies more on domestic issues.

🇫🇷 Sky News looks at some elements of Macron's vision 👇"
17,"""Is there any circumstance in which you would look at reports and say 'okay, I'll quit'?""

Speaking at Bury F.C, the PM says he will not comment until the report is complete and congratulates fans on getting their club ""back up and running.""

https://t.co/iOm40vn1kt

📺 Sky 501 https://t.co/FtLNIeIhG1"
18,"Prime Minister Boris Johnson says he is ""very reassured"" of the unity of the west and NATO against Russia after Emmanuel Macron beat Marine Le Pen in the French presidential election.

Latest: https://t.co/jT2hsa4dn1

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/euEL3BLLDU"
19,"Prime Minister Boris Johnson has described comments about Angela Rayner, made by an anonymous Conservative MP to the Mail on Sunday, as ""misogynistic tripe"" that is ""totally intolerable"".

Read more: https://t.co/FwabPsNklt

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/0QIHZ5hLpc"
20,"Almost nine out of 10 adults say they have seen a rise in their cost of living - compared with 62% in November last year, according to new figures https://t.co/SaZBIN1ldw"
21,"People in Beijing have stockpiled food and other supplies, as the city's biggest district began mass testing residents amid a new outbreak of coronavirus https://t.co/9tQJcMjUTO"
22,US eyes 'weakened' Russian military - as Putin says 'Western plot' to kill Russian journalists foiled https://t.co/X06r1CmD1F
23,Indonesia: Three Sumatran tigers killed after getting caught in traps - as numbers dwindle to about 400 https://t.co/n9Dz1A1fgB
24,"The winners of the BAFTA Television Craft Awards have been announced, with murder drama Landscapers and music comedy We Are Lady Parts dominating the event https://t.co/GwE2y2tC4e"
25,Rosamund Pike: Actress backs campaign for team of women to clear unexploded landmines in Laos https://t.co/AHQGG2Uu1H
26,".@IanKingSky looks at what another five years of Emmanuel Macron as president will mean for France's economy, and talks to Tim Bannister from Rightmove about another record-high for house prices.

🎧 Listen here 👉 https://t.co/gw0OBllPJp"
27,"Russia’s invasion of Ukraine has sparked a cost-of-living crisis as oil prices rise and its own economy tanks.   

On the Sky News Daily podcast, @HelenAnnSmith0 is joined by @IanKingSky and @EdConwaySky to explore the global impact of the war.

Listen 👉 https://t.co/IJafU52dQz"
28,The Transport Committee has called for the UK Civil Aviation Authority (CAA) to be able to fine airlines that do not completely refund customers when required by law https://t.co/9jlaGRTl2o
29,"Tory whips will be ""looking at whether they know"" who made comments about Angela Rayner to a newspaper that have been roundly condemned as sexist, a minister has told Sky News https://t.co/2CIavIUKRj"
0,"Malaria, like several other diseases, is preventable by harnessing disease-burden reduction innovations.

This #WorldMalariaDay2022, we join our voice with the global community to call for investments that bring new approaches to ensure resilient &amp; equitable health systems. https://t.co/NxrBhLzgQ5"
1,"Despite the decline in #COVID19 cases, Nigerians are encouraged to refrain from non-essential gatherings.

Comply with #COVID19 interventions guidelines such as the MANDATORY use of face masks in public settings.

🔗Guidelines:
https://t.co/UTFlBUq3vp

#TakeResponsibility https://t.co/qpWu21JyhG"
2,"We must awaken to the reality that #COVID19 is one out of numerous public health emergencies that we face.

We must continue to invest in improving #Nigeria’s health security for current and future public health emergencies. https://t.co/7qZ8H62O41"
3,"RT @NphcdaNG: Visit⬇️ https://t.co/3pjTrwmWMN for more details on COVID-19 vaccination sites in Nigeria.

#YesToCOVID19Vaccine"
4,"RT @NphcdaNG: Q: Where can I get COVID-19 vaccine?

A: You can get COVID-19 vaccine in any designated public and private health facilities,…"
5,"📚

@TheLancet commissioned a study that comprehensively assessed the global burden of bacterial #AntimicrobialResistance:
https://t.co/PfMW954SpI

Our epidemiologist, @beeodune writes about the implications of this study results for Nigeria.

🔗Read via
https://t.co/RsoAaX1bLb https://t.co/Zupgzl2rS6"
6,"6 new confirmed cases of #COVID19Nigeria;

Lagos-2
Rivers-2
Bauchi-1
Nasarawa-1

255,685 confirmed 
249,890 discharged 
3,143 deaths 

#TakeResponsibility https://t.co/U7YVASgJTM"
7,RT @IfedayoTiffy: It was my pleasure today to receive complementary copies (for me and the @NCDCgov library) of this compendium on Public H…
8,"#TodayInNCDC

We received representatives of the @LSHTM Nigeria Alumni on a courtesy visit to our headquarters.

Everyone - government, private &amp; public sector, communities, health practitioners &amp; individuals -have a role to play to strengthen public health in Nigeria &amp; globally. https://t.co/NDqryJo6tY"
9,"#Lassafever can be transmitted by food that has been contaminated by the urine and faeces of infected rats.

➡ Cook foods properly before eating.

➡ Store foods away from animals

#TakeResponsibility https://t.co/6hyT9emx6M"
10,"Washing your hands is still an effective way to reduce the spread of #COVID19 and other infectious diseases.

Be sure to wash your hands frequently with soap under running water.

If water is not available, use a hand sanitiser.

#TakeResponsibility https://t.co/KqewGHQtHL"
11,"Healthcare workers are advised to always practice standard infection prevention and control measures.

Wear gloves and other appropriate personal protective equipment while providing care to a patient or relative.

#LassaFeverInfo https://t.co/37w2d9KeR1"
12,RT @nighealthwatch: #COVID19 will not be the last disease with the potential to grow into a pandemic. How do we ensure that #Nigeria is wel…
13,"Masks are still a key way to prevent the spread of #COVID19. 

When you wear a mask in public domains and indoor gatherings. 

Ensure it's fitted properly over your mouth and nose.

#TakeResponsibility https://t.co/12S2OUhoAK"
14,"9 new confirmed cases of #COVID19Nigeria;

FCT-6
Lagos-3

255,679 confirmed 
249,886 discharged 
3,143 deaths 

#TakeResponsibility https://t.co/2bb0dtNSjd"
15,"RT @NphcdaNG: Hello Nigerians, here is an instructional video to guide you through your COVID-19 vaccination card verification. Please foll…"
16,"📚

#AntimicrobialResistance poses one of the greatest threats to human health in sub-Saharan Africa

Our Field Epid, @beeodune carried out a comprehensive estimate of the burden of AMR &amp; writes about the implications of the study results for Nigeria

Read
https://t.co/RsoAaX1bLb https://t.co/5PriiB4Pmu"
17,"Here are simple &amp; effective actions to take to help protect yourself, family &amp; community against #COVID19.

💉#GetVaccinated
😷Wear a face mask in public &amp; indoor gatherings
🌬️Keep spaces well ventilated
🧼 Wash your hands frequently
🤒 Stay at home when ill

#TakeResponsibility https://t.co/EpUMetum7A"
18,"#NCDCPublication📚

Several disease outbreaks have been recorded in Nigeria in the last 10 years with imported cases of #Ebola in 2014, annual outbreaks of #YellowFever, #LassaFever, #CerebrospinalMeningitis, #cholera, #measles, and most recently, #COVID19. https://t.co/gE6DHqoANt"
19,"#Lassafever is a zoonotic disease transmitted through direct or indirect contact with rats.

Practice personal and environmental hygiene to prevent the infestation of rats in our homes and communities.

#TakeResponsibility https://t.co/KvRNDswYI5"
20,"The overall goal of Infection Prevention &amp; Control is to maintain an environment of care that minimises risks of infection for patients, staff &amp; visitors

These #IPC guidelines must be practised by all #HCWs in public &amp; private primary, secondary &amp; tertiary healthcare facilities. https://t.co/ngzyFYASbY"
21,"22 new confirmed cases of #COVID19Nigeria;

Lagos-10
Nasarawa-6
FCT-3
Rivers-3

255,670 confirmed 
249,879 discharged 
3,143 deaths 

#TakeResponsibility https://t.co/OptwsncdgM"
