,Tweet
22,"TOMORROW: A special installment of “We Were There”, honoring the life of Dr. Sherif Zaki. 

Dr. Zaki was a visionary leader of infectious disease pathology with a more than 30 year career at CDC.

Please join the presentation at 1:30PM ET tomorrow: https://t.co/VX60vZaP8v. https://t.co/WcsSl7iCNz"
23,"Over 9 million children ages 5–11 years have received at least one dose of #COVID19 vaccine.

Your participation in v-safe helps CDC monitor the safety of COVID-19 vaccines for everyone.
 
Learn more: https://t.co/S4ZmF2foa9. https://t.co/fFWJC29XuL"
24,#HCPs: Improving childhood vaccination rates is a collective effort. Learn how HCPs can work together to improve rates: https://t.co/y8gykrKeYx. https://t.co/a4hcKmR5yn
25,"Early #autism diagnosis is key to getting timely support. Progress has been made in identifying children with autism spectrum disorder at an early age. Learn the signs. Act early. https://t.co/LLoxRb38CR

#AutismAwarenessMonth #AutismAcceptanceMonth https://t.co/d3EqSjeSmT"
26,"Throughout the pandemic, the U.S. has experienced waves of #COVID19 caused by different variants. CDC closely tracks variant trends and their impact on public health. Learn more in this week’s COVID Data Tracker Weekly Review: https://t.co/F4bAyObDp1. https://t.co/bnWZ8M6lFC"
27,"As of April 21, 2022, more than 98% of the U.S. population lives in a location with a low or medium #COVID19 Community Level. 

Find your COVID-19 Community Level: https://t.co/w3365V9Zr4. https://t.co/Fmhz5RnxtP"
28,"CDC estimates that at least 2,800 people have died from flu so far this season. Help stop the spread of flu by getting your #FluVax, taking everyday preventive actions, and taking antiviral drugs if your doctor prescribes them: https://t.co/kfI18PWwiI. https://t.co/negXGsA4FX"
29,"The latest CDC #FluView report shows flu activity remains elevated, but varies across the U.S., with #flu activity highest in the northeast, south-central, and mountain regions of the country. Learn more: https://t.co/s9XLYIzBXD. https://t.co/NLaEfy6AEr"
30,"New @CDCMMWR found that for the second year, #COVID19 was third leading cause of death in US in 2021, after heart disease &amp; cancer. 

Stay up to date on your COVID-19 vaccines to help prevent serious illness and death. Learn more: https://t.co/WKQpZOueVQ. https://t.co/O6gowonFmX"
31,"New @CDCMMWR shows gaps between #COVID19 death rates decreased among most racial &amp; ethnic groups from 2020 to 2021.

Access to COVID-19 vaccination and other interventions can help address health disparities in communities across the US even more. https://t.co/KphhaPvLWJ https://t.co/PipErVW898"
32,"Raise awareness with @cdchep’s #HepatitisAwarenessMonth toolkit, featuring all-new graphics and messages to help you spread the word!
https://t.co/wyXtelfgUh https://t.co/oPv3BDtadE"
33,"If you’re eligible for a #COVID19 booster and haven’t received one, make a plan to get one now.

Everyone ages 12 years and older should get a booster when it’s time.

Find one near you: https://t.co/2akIUZ14Rd. https://t.co/eM1aACqqxh"
34,"The latest MMWR Weekly #COVID19 Briefing is live. This episode covers 3 reports, including reports highlighting COVID-19 mortality &amp; vaccine coverage in Hong Kong, Omicron infections in people previously infected w/ Delta and more. Listen &amp; subscribe: https://t.co/I9Zs1YquaF. https://t.co/GYPBWgtJtd"
35,"H5N1 bird flu continues to be detected in wild birds and poultry in the U.S. CDC is working with local, state, and federal partners to monitor people with exposures to infected birds &amp; is prepared to respond if these viruses spread to people: https://t.co/1XpBDZZdpF. https://t.co/uOkS3w9k03"
36,"More than 11,700 healthcare facilities are using electronic case reporting (eCR) for #COVID19 &amp; other reportable conditions. eCR enables real-time information exchange between healthcare &amp; public health, which is critical in public health emergencies. https://t.co/fRhIsHKoNY https://t.co/0uqK9ErjrO"
37,"New @CDCMMWR finds nat'l vaccination coverage among kindergarteners dropped below 94% for the 2020-21 school year.

Parents: Make sure your child is up to date on routine vaccinations to protect them against common &amp; sometimes serious diseases. Learn more: https://t.co/ly0blYebXw https://t.co/JmVNyEu2fT"
38,"Over 9 million children ages 5–11 years have received at least one dose of #COVID19 vaccine.

Enroll in v-safe so you can quickly and easily share with CDC how your child feels after getting a COVID-19 vaccine.

Learn more: https://t.co/S4ZmF2foa9. https://t.co/JW2RQIxDdm"
39,CDC nationwide health alert: A cluster of children identified w/ #hepatitis and #adenovirus infection. Physicians should be alert for symptoms &amp; report any suspected hepatitis cases of unknown origin to their local and state health departments. https://t.co/vzi2xjmKRh
40,"About 1 in 25 packages of raw chicken at the grocery store is contaminated with #Salmonella. Avoid getting sick:
 ❌ Keep raw chicken away from ready-to-eat foods, like salads
 ✔️ Cook chicken to 165°F

More about chicken and food poisoning: https://t.co/pDNhOzQvun. https://t.co/iUqQwN7x1O"
41,"Are you up to date on your #COVID19 vaccines?
You’re up to date on COVID-19 vaccines when you’ve received all vaccines recommended for you, including additional doses and boosters when you’re eligible.
Learn more: https://t.co/009bOerScg. https://t.co/CgpsD6B96c"
42,"Want to become a CDC #DiseaseDetective? 🕵️‍♀️🕵️

CDC’s Epidemic Intelligence Service officers go the distance to address #PublicHealth issues around the world. 👣 

Tag someone you think should apply &amp; submit your application by May 31: https://t.co/keaIG4cMqH. https://t.co/nMCUpFfS3R"
43,CDC continues to recommend that people wear masks in all indoor public transportation settings. See full CDC statement:  https://t.co/xY9YcSlSxr
44,"As of April 18, 2022, national forecasts predict 200–4,000 new #COVID19 hospitalizations will likely be reported on May 13. More: https://t.co/Xys80ZGlxV. https://t.co/QyL0jWsuxD"
45,"During Medical Laboratory Professionals Week, recognize &amp; celebrate the lab professionals in your life. 🔬 

📣 Tag someone you want to thank for the contributions they make to the health of patients and communities: https://t.co/AY17MoX0ZV.
#MLPW22 #LabWeek2022 https://t.co/SqEYy43scY"
46,"#HCPs: The ACIP has new recommendations on Hepatitis B, Pneumococcal &amp; Zoster vaccines. This Current Issues in Immunizations recording now available at https://t.co/lmghb6s6pC. https://t.co/QEJ6NgnYDN"
47,"Why should you stay up to date with your #COVID19 vaccines?

Staying up to date with your COVID-19 vaccines lowers your risk of getting seriously ill, being hospitalized, or dying from COVID-19.

Find your vaccine or booster: https://t.co/xbvNibdkCt."
48,#HCPs: Some of your littlest patients might have missed their routine vaccinations. Talk to their parents about getting them caught up. https://t.co/kAaLqImzUt #VaccinesWork https://t.co/4aHtrS6GYM
49,"Improvements to park, trail, and greenway infrastructure, combined with additional interventions such as structured programs or transportation connections, increase physical activity. Read the new @CPSTF recommendation: https://t.co/Da5B40Fg8W.
#CommunityGuide #ActivePeople https://t.co/Wi1BrFEa3g"
50,"#DYK? Your body’s ability to fight off #COVID19 can decrease over time after vaccination. When this happens, a booster can help your body build back the immunity that has been lost.
More: https://t.co/77CTFuJFcO. https://t.co/C5vdNf13CW"
51,"Health communicators &amp; data practitioners: Learn how to present data in a way that shows respect for the population being studied. Read “Do No Harm,” a guide from @urbaninstitute: https://t.co/xybIfPvY4z.

#HealthLiteracy #HealthEquity https://t.co/8cOCbA7qc6"
52,"#COVID19 can make some children very sick. A new MMWR report shows among children ages 5–11 years hospitalized with COVID-19 during the first few months of Omicron, 3 in 10 had no underlying conditions and 2 in 10 were admitted to the ICU. Learn more: https://t.co/IUFvr9HBt8. https://t.co/2W19KlpQSj"
53,"Tele misused prescription #opioids from age 13. He shares the effect they had on his life and his #recovery from #OpioidUseDisorder. 
 
Don’t give up. There is hope, and recovery is possible. Learn more: https://t.co/LgsvhdphjK.
#RxAwareness https://t.co/xgI2vd5lcG"
54,"#DYK that raw milk can have dangerous germs that can make you and your family sick? To keep everyone safe, drink pasteurized milk, which has been heated to kill harmful germs. Learn more about the dangers of raw milk: https://t.co/JQlk0F5ufH. https://t.co/d2HdlJ5SJi"
55,"As of April 18, 256.8 million people have received at least one dose of a #COVID19 vaccine. Of those, 218.9 million are fully vaccinated. More than 99.5 million people have received a COVID-19 booster dose.  

Find a COVID-19 vaccine or booster near you: https://t.co/xbvNiaVJKV. https://t.co/h7x59DfUtv"
56,"Tribal community members, leaders, and partners: Share new videos of Wes Studi, Cherokee elder, Oscar award recipient, and health advocate, encouraging American Indian and Alaska Natives to get vaccinated to help protect their communities from #COVID19. https://t.co/2Xjim3GaiS https://t.co/BGyAaIK3lO"
57,Flying through @ATLairport between now &amp; April 24? Check out CDC’s digital photo exhibit “Faces from the Frontlines” in Concourse F. Snap a photo with the exhibit and share your selfies with us using #GoingGlobalWithCDC! https://t.co/lNG1V7BbSY https://t.co/XjgxeXzDlx
58,"Over 9 million children ages 5–11 years have received at least one dose of #COVID19 vaccine.

Your participation in v-safe helps CDC monitor the safety of COVID-19 vaccines for everyone. 

Learn more: https://t.co/S4ZmF2foa9. https://t.co/VVJLMHzwXB"
59,"Hemophilia is a rare bleeding disorder where the blood does not clot properly, making it harder to stop a cut from bleeding. This #WorldHemophiliaDay, learn more about hemophilia and help raise awareness about this rare condition. https://t.co/1ym5PgPIOo https://t.co/2FVz2hhCmV"
60,"Chicks 🐤 and bunnies 🐇 are adorable, but they can be easily injured and spread germs to young kids. Don’t use these animals as photo props. 📷

Learn more about keeping people and animals healthy: https://t.co/eJ4LkLu7EA. https://t.co/jPQ0prUoKy"
61,"If you’ve delayed or avoided medical care during the #COVID19 pandemic, it’s time to jump back in. Put “get a checkup” on your to-do list, especially if you’re at risk for heart disease. Learn more in the COVID Data Tracker Weekly Review: https://t.co/F4bAyObDp1. https://t.co/FnKB4i3oQZ"
62,"New: CDC’s COVID Data Tracker now shows more information about levels of the virus that causes #COVID19 in a community’s wastewater. When used with other data, increasing levels can provide an early warning of COVID-19 spread in a community. See the data: https://t.co/2oUHTMGqqX. https://t.co/o2rP9ghGpi"
63,"CDC flu burden estimates for the 2021-2022 flu season suggest at least 42,000 people have been hospitalized with flu so far. Most people hospitalized with flu each year have at least one underlying medical condition. More: https://t.co/kfI18PWwiI. https://t.co/q1i8wXsCOn"
64,"#Flu activity continues to increase in the United States, per the most recent CDC #FluView report. Activity is highest in the central and south-central regions of the country but increasing most rapidly in the northeast of the country. Learn more: https://t.co/s9XLYIzBXD. https://t.co/AM2ZoxZRwv"
65,"As of April 14, 2022, more than 99% of the U.S. population lives in a location with a low or medium #COVID19 Community Level. 

Find your COVID-19 Community Level: https://t.co/w3365V9Zr4. https://t.co/8vcNoqZ1mV"
66,Have questions about #COVID19 vaccination for children ages 5+ years? Here are 6 things parents and caregivers need to know: https://t.co/FoJ0IFtxGR. https://t.co/mJTp7t4fCs
67,"Clinicians: CDC updated the #HepatitisB vaccine recommendations for adults ages 19-59 years old, and 60 and older with risk factors for #Hepatitis B. 

Learn more about these updated recommendations: https://t.co/BASRkdemqi. @CDChep https://t.co/vxRU6OLEuw"
68,Are you preparing a holiday meal? Cooking meat to a safe internal temperature is an important step to prevent food poisoning. Learn more about food safety: https://t.co/jI4DTslXQ3. https://t.co/jSNwxYI9Ae
69,Are you up to date with recommended #COVID19 vaccinations? Find out what it means to be up to date and how to lower your risk of hospitalization from COVID-19: https://t.co/009bOerScg. https://t.co/DWAO9mVRPd
70,"Learn how @HarvardChanSPH, @ASTHO, and @nphic worked to effectively communicate important #COVID19 information to people in the U.S. who speak Spanish or Chinese and have limited English proficiency: https://t.co/U6p0HuW5dt. https://t.co/00dDQD0uOw"
71,"CDC is supporting local, state, and federal partners responding to outbreaks of H5N1 bird flu in wild birds in 31 states &amp; in poultry in 26 states. At this time, the risk to the general public from these viruses remains low. More: https://t.co/1XpBDZZdpF. https://t.co/xapF7diGBX"
72,Pediatric providers: Be prepared to discuss #COVID19 vaccination for children with parents and caregivers. Ask open-ended questions and listen empathetically to help create an open discussion. Learn more: https://t.co/46OQwqhLoz. https://t.co/SBdcwnvyOr
73,"STDs are common, but you can prevent them! During #STDweek, take a quiz to see if you’re at risk for an infection and access resources to make a #SaferSexGamePlan before you go out.  https://t.co/Cu2XBdXQAY #STDreport https://t.co/8UEIIpqJcx"
74,"As of April 11, 2022, national forecasts predict 100–5,500 new #COVID19 hospitalizations will likely be reported on May 6. More: https://t.co/Xys80ZGlxV. https://t.co/U06NlamWeR"
75,.@ProjectRefocus_ works with communities to monitor and address how stigma and racism contribute to disparities in who gets #COVID19 and the care they receive. Learn more on this Health Equity in Action project: https://t.co/R8vczOGGiC. https://t.co/QrInlHd4IB
76,"#Parents and Caregivers: Your children ages 5+ years should get a #COVID19 vaccine. 
If your kids haven’t received a COVID-19 vaccine, make an appointment today. Contact their healthcare provider or visit https://t.co/2akIUZ14Rd. https://t.co/FJu1MABH2V"
77,"KINDER CHOCOLATE RECALL: Do not eat or give away recalled Kinder chocolate. It may be contaminated with Salmonella.
•Kinder Happy Moments Chocolate Assortment
•Kinder Mix Chocolate Treats Basket

Return to store or contact Ferrero for refund. More info: https://t.co/UR39pMOvjJ https://t.co/4Pl1JPFE58"
78,"During #AlcoholAwarenessMonth, learn about the negative impacts of alcohol exposure on a baby during pregnancy.
@CDC_NCBDDD has materials for individuals &amp; healthcare providers to help prevent fetal alcohol spectrum disorders (#FASDs): https://t.co/NkJGhwPrSX. https://t.co/H8a8oBnrui"
79,"Parents: Children with disabilities may need accommodations at #COVID19 vaccination sites. Make sure to discuss this with your provider when making the appointment so your child gets the support they need during their visit. 

Learn more: https://t.co/348AOulKr0. https://t.co/uZXlFeziY2"
80,"PhD scientists: Become a #DiseaseDetective in CDC’s Laboratory Leadership Service to advance your #PublicHealth career. 🔬
Submit your LLS application by May 6: https://t.co/tOxzevltnJ. https://t.co/FCMYivx4kZ"
81,"CDC/ATSDR’s Geospatial Research, Analysis, and Services Program (GRASP) has tools that help public health organizations to reduce health inequity. Learn more about GRASP: https://t.co/dAabaGgsDl.
@CDCDirector @CDCEnvironment https://t.co/rOt47AqMaU"
82,"NEW DATA: 2.4 million cases of STDs were reported in 2020. While the full picture is unclear, CDC’s annual report shows STDs remain far too high. During #STDweek, take this quiz and access resources to make a #SaferSexGamePlan: https://t.co/plDEbTBgAB. #STDreport https://t.co/LzKXuYIOZe"
83,"Even if you’ve already had #COVID19, mRNA vaccines (Pfizer-BioNTech or Moderna) help keep you out of the hospital if you get COVID-19 again, with a booster giving the most protection, new @CDCMMWR finds. Stay up to date on your COVID-19 vaccines. More: https://t.co/jK4UHl97mR. https://t.co/DRk9biBeg6"
84,#HealthLiteracy partnerships between public health organizations and libraries can improve outreach to historically under-resourced communities. Learn how to build strong collaborations with libraries: https://t.co/9WfXbVqVHI. https://t.co/uY4QkxcP9l
85,"After-school organizations and summer programs remain vital for keeping children safe, healthy, and challenged when not in school. 🏫

Check out @CDCPCD to learn how these programs partner with schools to support students: https://t.co/eYjcTnInJR. https://t.co/9QQGjw66P8"
86,"As of April 11, 256.3 million people have received at least one dose of a #COVID19 vaccine. Of those, 218.4 million are fully vaccinated. More than 98.8 million people have received a COVID-19 booster dose.

Find a COVID-19 vaccine or booster near you: https://t.co/xbvNiaVJKV. https://t.co/DXGaqkn75h"
87,"Are you responsible for lab education &amp; training at your institution?

Attend CDC’s OneLab Virtual Summit: Elevating Connections, Building Bridges in Adversity. Network and learn from peers about best practices, challenges, &amp; new opportunities. Register: https://t.co/BYvz5lk5zH. https://t.co/12MON4s15t"
88,"📣 College students, recent graduates &amp; professionals: Join CDC for a virtual career expo for Hispanic &amp; Latinos interested in a career at CDC on April 28 at 10am ET. Register by April 15 &amp; tag a friend who should join this event: https://t.co/BKrgyuQHAE. https://t.co/jnAvjOzKhq"
89,"#DYK? Most dog bite victims are kids. Teach your child how to safely interact with dogs – even trusted family pets. 🐶

Learn more: https://t.co/LPxC99IxaA.
#PreventDogBites https://t.co/Np69nsT0Ej"
90,HCPs: Improving childhood vaccination rates is a collective effort. Communicate directly to your patient’s parents about the importance of well-child visits and keeping up to date on recommended childhood vaccinations. Learn more: https://t.co/gUIYM7ions. https://t.co/eUNAwzEmFK
91,"Being together with people who support you can be healing and empowering as you face new challenges and celebrations.

Wondering how to reach out to your community? Here are a few ideas to safely connect. 

Learn more: https://t.co/VWTWoehoLX
#HowRightNow #NPHW https://t.co/lpyi3KNuCx"
92,Vaccinating children is the single best way to protect them from getting very sick with #COVID19. Learn more in the COVID Data Tracker Weekly Review: https://t.co/F4bAyObDp1. https://t.co/pnDK0TczTL
93,"H5N1 bird flu continues to be detected in wild birds and domestic poultry in the U.S. CDC is working with local, state, and national partners to monitor people with exposures and is prepared to respond should these viruses spread to humans: https://t.co/1XpBDZZdpF. https://t.co/0V6GoDzFsx"
94,"As of April 7, 2022, more than 99% of the U.S. population lives in a location with a low or medium #COVID19 Community Level.

Find your COVID-19 Community Level: https://t.co/w3365V9Zr4. https://t.co/qG8hmNexpY"
95,Testing the DNA of antimicrobial-resistant Plasmodium falciparum in the blood of travelers from malaria-endemic regions may help researchers monitor how drug resistance changes over time https://t.co/Qo4opkrqIX https://t.co/lQiTEGu4kS
96,Only 25% of patients hospitalized with COVID feel fully and completely recovered. https://t.co/7fBpt9rCpi
97,"Alcohol dependence drug shows promise as a potential anxiolytic, early research suggests. https://t.co/YDD4m3aCLh #TwitteRx"
98,"Can you diagnose the 17-year-old girl who has experienced oral fungal infections, severe diarrhea, recurrent abdominal pain, and vomiting? https://t.co/XBqPdT75c1"
99,"Two weeks after surgery, a man with benign prostatic hyperplasia arrives at the ED with increasing urine hesitancy and extensive hematuria. Can you figure out what the problem is? https://t.co/3zfDaNEun0"
100,"Do you know key clinical concerns associated with cannabis usage, given its growing popularity?  https://t.co/BZrmIXBCPS"
101,Only heart disease and cancer cause more deaths than COVID. https://t.co/yqYBApsCJg https://t.co/67T8SAxIbM
102,Congo declares Ebola epidemic after one man died of the disease. https://t.co/ksV49eQ4IT
103,FDA granted the first full approval for treating COVID in children aged 28 days and older with remdesivir. https://t.co/zEkiqjEjqZ https://t.co/W33Ojfmkea
104,Depression strikes more than half of obese adolescents https://t.co/lELZVkDhxy #MedTwitter https://t.co/x5Ogxyv1fF
105,No recurrence of VTEs appeared after 1 year in patients who experienced these events while hospitalized with severe COVID-19. https://t.co/SUjSm5ub9N
106,Four approaches to promote well-being (which in turn helps prevent and even treat burnout) https://t.co/EatEptBTTd https://t.co/DrOZery6Sp
107,"Experts call for 'nuanced' prescribing of PPIs to patients with #cirrhosis in a study that found lower mortality only in those with gastrointestinal bleeding.
https://t.co/fs7D0kr7Yq"
108,Level of neuroticism may predict cognitive decline https://t.co/Nx0yWhruyN
109,Verdict in for doc accused of killing 14 patients https://t.co/3aXiZqSMMh https://t.co/nLvlUVzC3p
110,Is #acupuncture for pain control just an elaborate placebo? https://t.co/FJI2Hc2NPK https://t.co/rhfIBOab7a
111,"Cardiac issues &amp; COVID: New data
https://t.co/uiAFfeCSFH"
112,New Orleans nephrologist @DrBaudy IV brews a no-salt hot sauce that packs a punch but is kind on the kidneys. https://t.co/JRz3XZCgbS 🌶️
113,"An overall 9-fold increase in COVID antibodies with a longer interval between first and second doses of the Pfizer/BioNTech (BNT162b2) vaccine, according to data from the SIREN study. https://t.co/4XKeyyDFjj #ECCMID2022"
114,"The first causal evidence relating lack of sleep to abdominal obesity and dangerous visceral, or ""belly"" fat has been found in a controlled investigation of sleep-deprived young adults. https://t.co/jasZO4NvjC"
115,Don't miss our infographic highlighting key information on the latest physician income trends from the Medscape Physician Compensation Report 2022: https://t.co/2w8Lvum9zk
116,"A 36-year-old man is tired, thirsty, and has leg cramps. He's been told he has diabetes and hypertension, yet he can't seem to drop weight. What is your diagnosis? https://t.co/bsJn6xHEvY"
117,"Are you confident that you could recognize and treat #hypothyroidism? 
https://t.co/lYrwwlfhAx #MedTwitter"
118,The presence of mental and physical health conditions worsens the prognosis of many other chronic conditions. Review the key clinical findings from the latest research to ensure you are up to date. https://t.co/I3G3EOnzCd #MedTwitter
119,A pair of new studies offers more evidence for the value of vegetables and the risk of red meat on the cancer prevention front. https://t.co/J1Of1YGeWY
120,Skincare products containing #goatmilk linked to new-onset food allergy https://t.co/FO5nNNPoGW #DermTwitter https://t.co/h0Yg6kCcPC
121,A 35-year-old man comes to the clinic with new headaches that worsen when he stands and resolve when he lies down. https://t.co/hraI4Z6pL3 #MedTwitter
122,Remembering Dr. Faith Fitzgerald https://t.co/4nwQLQKxwC
123,Cheap and noninvasive: Detecting HPV in sanitary pads https://t.co/ODu8PfScL0 https://t.co/H8p5KJVuko
124,U.S. COVID transmission from animals to humans: Study results https://t.co/DTRXK3lFvB
125,Pickle juice found to ease muscle cramps https://t.co/YXuzMucAnH https://t.co/UI7AzAohdp
126,A Virginia physician assistant entered a plea of not guilty to a murder charge in connection with a gruesome slaying of another PA. https://t.co/8Z4kxYvNWf
127,Is there a link between COVID-19 cases or vaccinations and the increased reports of thyroid autoimmunity and its complications? https://t.co/0pQZ324diU
128,Is intermittent fasting a 'waist' of time? https://t.co/iabsSP311y #MedTwitter
129,An interview with @Scienceofsport on the science and the colliding rights of fairness and inclusion. https://t.co/MswJ69sDNH
130,FDA is advising against buying or using certain dietary supplements sold with variations of the names 'Artri' or 'Ortiga' because of potentially harmful ingredients not mentioned on labels. https://t.co/DAetuJ1Nnj https://t.co/KtMDyaBmz3
131,"Women in rheumatology: A look back, a look forward https://t.co/GRewTdlCi1 https://t.co/vgbwXeFRxk"
132,"Small HDL particles in cerebrospinal fluid may help protect against Alzheimer's disease, new research suggests. https://t.co/NDL4twEGYl"
133,Stanford's Benjamin Pinsky on the potential for even more transmissible and pathogenic versions of the SARS-CoV-2 virus to arise. https://t.co/Dce4CLACO3
134,"Do you know the latest on triggers to avoid, key aspects of presentation, and best practices for diagnosing and managing AFib? https://t.co/jHR5HLzckO #CardioTwitter"
135,A patient presents to the ED with loose stools and 'brain fog.' Is it celiac or something else? https://t.co/azUhR1Lgfv
136,"A patient presents with bilateral arm pain and has trouble grasping objects. Yesterday, he began having trouble emptying his bladder. https://t.co/HJAcCLpFqt"
137,"Use of antiseizure medications while breastfeeding is not associated with differences in child cognitive outcomes at age 3, according to new results from MONEAD study.
https://t.co/z5BRo3yANY #AANAM"
138,"New research suggests that chemotherapy treatments for recurrent high-grade gliomas indicated by an assay-guided tool called ChemoID can boost median survival, compared with physician choice. https://t.co/R0Ubnm8teL #AACR22 https://t.co/h997ql0RoS"
139,A new AGA Clinical Practice Update for evaluation and management of GERD focuses on delivering personalized diagnostic and therapeutic strategies. https://t.co/anzObePKg1 https://t.co/UrISC9nnJI
140,"More than 40 medical conditions were positively associated with having a new diagnosis of #osteoarthritis, according to research presented at #OARSI2022. https://t.co/O94BsIsSTW"
141,Survey showed that US physicians oppose sanctioning of Russian colleagues by medical societies. https://t.co/MghLRA0NE8
142,Physicians treating Hodgkin lymphoma should not delay allo-HCT over fears of checkpoint inhibitor-related graft-versus-host disease. https://t.co/wjrSrjPklk
143,"An immunocompromised patient battled COVID for 505 days, the longest known to date.
https://t.co/bVyH2hui6v https://t.co/vvcVsAKFl9"
144,"Doc charged with gruesome murder, patients 'shocked'
https://t.co/2duYM6Ee64"
145,"Cannabis use may be linked to dementia risk
https://t.co/lmxfnOqq2d"
146,"Next-generation vaccines, and a lot more money, are needed now to crack the stalemate in the fight against #malaria. https://t.co/SyOtFNp7qa https://t.co/5QVoYTpzAj"
147,The @AASMorg recommends that melatonin not be used for insomnia in adults or children while evaluating its safety. https://t.co/GOCny3YTYI
148,Tips for #malpractice risk reduction: Dr Feldman's 3 P's https://t.co/BvQy8qU0H7
